
book title,Jad's rating,my rating
Simply Christian by N.T. Wright Simply Christian: Why Christianity Makes Sense 
by N.T. Wright
4 of 5 stars,to-read
Sex God by Rob Bell Sex God: Exploring the Endless Connections Between Sexuality and Spirituality 
by Rob Bell
4 of 5 stars,to-read
Pilgrim at Tinker Creek by Annie Dillard Pilgrim at Tinker Creek 
by Annie Dillard
to-read,2 of 5 stars
The Irresistible Revolution by Shane Claiborne The Irresistible Revolution: Living as an Ordinary Radical 
by Shane Claiborne
5 of 5 stars,3 of 5 stars
Celebration of Discipline by Richard J. Foster Celebration of Discipline: The Path to Spiritual Growth 
by Richard J. Foster
5 of 5 stars,to-read
Orthodoxy by G.K. Chesterton Orthodoxy 
by G.K. Chesterton
to-read,to-read
The Cost of Discipleship by Dietrich Bonhoeffer The Cost of Discipleship 
by Dietrich Bonhoeffer
4 of 5 stars,to-read
